Country;GDP per capita;Life satisfaction
Russia;9054.914;6.000
Turkey;9437.372;5.600
Hungary;12239.894;4.900
Poland;12495.334;5.800
Slovak Republic;15991.736;6.100
Estonia;17288.083;5.600
Greece;18064.288;4.800
Portugal;19121.592;5.100
Slovenia;20732.482;5.700
Spain;25864.721;6.500
Korea;27195.197;5.800
Italy;29866.581;6.000
Japan;32485.545;5.900
Israel;35343.336;7.400
New Zealand;37044.891;7.300
France;37675.006;6.500
Belgium;40106.632;6.900
Germany;40996.511;7.000
Finland;41973.988;7.400
Canada;43331.961;7.300
Netherlands;43603.115;7.300
Austria;43724.031;6.900
United Kingdom;43770.688;6.800
Sweden;49866.266;7.200
Iceland;50854.583;7.500
Australia;50961.865;7.300
Ireland;51350.744;7.000
Denmark;52114.165;7.500
United States;55805.204;7.200
