,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano,Produto das lavouras temporárias e permanentes (Código),Produto das lavouras temporárias e permanentes
1,6,Município,40,Mil Reais,2466,2300101,Abaiara (CE),215,Valor da produção,2019,2019,0,Total
2,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40129,Abacate
3,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40092,Abacaxi*
4,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,45982,Açaí
5,6,Município,40,Mil Reais,...,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40329,Alfafa fenada
6,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40130,Algodão arbóreo (em caroço)
7,6,Município,40,Mil Reais,36,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40099,Algodão herbáceo (em caroço)
8,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40100,Alho
9,6,Município,40,Mil Reais,24,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40101,Amendoim (em casca)
10,6,Município,40,Mil Reais,2,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40102,Arroz (em casca)
11,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40103,Aveia (em grão)
12,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40131,Azeitona
13,6,Município,40,Mil Reais,399,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40136,Banana (cacho)
14,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40104,Batata-doce
15,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40105,Batata-inglesa
16,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40137,Borracha (látex coagulado)
17,6,Município,40,Mil Reais,...,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40468,Borracha (látex líquido)
18,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40138,Cacau (em amêndoa)
19,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40139,Café (em grão) Total
20,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40140,Café (em grão) Arábica
21,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40141,Café (em grão) Canephora
22,6,Município,40,Mil Reais,...,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40330,Caju
23,6,Município,40,Mil Reais,6,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40106,Cana-de-açúcar
24,6,Município,40,Mil Reais,...,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40331,Cana para forragem
25,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40142,Caqui
26,6,Município,40,Mil Reais,6,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40143,Castanha de caju
27,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40107,Cebola
28,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40108,Centeio (em grão)
29,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40109,Cevada (em grão)
30,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40144,Chá-da-índia (folha verde)
31,6,Município,40,Mil Reais,55,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40145,Coco-da-baía*
32,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40146,Dendê (cacho de coco)
33,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40147,Erva-mate (folha verde)
34,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40110,Ervilha (em grão)
35,6,Município,40,Mil Reais,63,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40111,Fava (em grão)
36,6,Município,40,Mil Reais,476,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40112,Feijão (em grão)
37,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40148,Figo
38,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40113,Fumo (em folha)
39,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40114,Girassol (em grão)
40,6,Município,40,Mil Reais,34,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40149,Goiaba
41,6,Município,40,Mil Reais,-,2300101,Abaiara (CE),215,Valor da produção,2019,2019,40150,Guaraná (semente)
