,data
0,611
1,412
2,13219
3,3616
4,1839
5,970
6,695
7,5260
8,7054
9,282
10,1289
11,6364
12,16551
13,3113
14,1838
15,7338
16,7793
17,943
18,3086
19,866
20,415
21,1346
22,22370
23,7419
24,1809
25,959
26,4022
27,43443
28,40846
29,4200
30,2323
31,22205
32,3161
33,7155
34,4128
35,7750
36,3604
37,2376
38,3031
39,6645
40,19477
41,240
42,8737
43,2000
44,2265
45,197
46,1011
47,8121
48,863
49,18250
50,3976
51,24860
52,11192
53,550
54,1027
55,275
56,5079
57,2046
58,26
59,11298
60,1133
61,847
62,656
63,12888
64,865
65,392
66,2440
67,110678
68,1154
69,1420
70,2104
71,2053
72,37804
73,1070
74,16853
75,5659
76,21168
77,2913
78,4060
79,1239
80,12114
81,3144
82,423
83,1415
84,348
85,389
86,11038
87,19177
88,2959
89,8469
90,819
91,2041
92,1245
93,2236
94,3359
95,768
96,1643
97,3561
98,1275
99,1889
100,3152
101,43723
102,2436
103,581
104,2133
105,5446
106,1493
107,791
108,8560
109,411
110,2306
111,1845
112,485
113,46004
114,4557
115,2101
116,2600
117,200
118,1745
119,638
120,4660
121,1048
122,705
123,12029
124,16881
125,2523
126,5683
127,2076
128,2965
129,160
130,9267
131,2449
132,4983
133,26926
134,4216
135,7729
136,3360
137,5013
138,2006
139,2895
140,1265
141,1068
142,1656
143,599
144,7138
145,1026
146,2340
147,3730
148,4380
149,913
150,11153
151,20088
152,19500
153,5301
154,18210
155,210
156,9953
157,1888
158,1224
159,7970
160,49101
161,1509
162,6161
163,998
164,5058
165,1104
166,4335
167,2336
168,2760
169,13600
170,735
171,5177
172,1207
173,83743
174,17166
175,8648
176,50794
177,613
178,2420
179,7296
180,1468
181,32137
182,1982
183,77779
