"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Município";"Produto das lavouras temporárias e permanentes";"Ano";"Variável";""
"Acopiara (CE)";"Abacate";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Abacate";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Abacate";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Abacate";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Abacate";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Abacaxi*";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Abacaxi*";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Abacaxi*";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Abacaxi*";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Abacaxi*";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Açaí";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Açaí";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Açaí";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Açaí";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Açaí";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Alfafa fenada";"2016";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Alfafa fenada";"2017";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Alfafa fenada";"2018";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Alfafa fenada";"2019";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Alfafa fenada";"2020";"Valor da produção (Mil Reais)";"..."
"Acopiara (CE)";"Algodão arbóreo (em caroço)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Algodão arbóreo (em caroço)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Algodão arbóreo (em caroço)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Algodão arbóreo (em caroço)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Algodão arbóreo (em caroço)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Algodão herbáceo (em caroço)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Algodão herbáceo (em caroço)";"2017";"Valor da produção (Mil Reais)";"10"
"Acopiara (CE)";"Algodão herbáceo (em caroço)";"2018";"Valor da produção (Mil Reais)";"147"
"Acopiara (CE)";"Algodão herbáceo (em caroço)";"2019";"Valor da produção (Mil Reais)";"389"
