"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Produto das lavouras temporárias e permanentes";"Ano";"Variável";""
"Ceará";"Abacate";"2016";"Valor da produção (Mil Reais)";"3061"
"Ceará";"Abacate";"2017";"Valor da produção (Mil Reais)";"4360"
"Ceará";"Abacate";"2018";"Valor da produção (Mil Reais)";"6159"
"Ceará";"Abacate";"2019";"Valor da produção (Mil Reais)";"14231"
"Ceará";"Abacate";"2020";"Valor da produção (Mil Reais)";"17724"
"Ceará";"Abacaxi*";"2016";"Valor da produção (Mil Reais)";"3294"
"Ceará";"Abacaxi*";"2017";"Valor da produção (Mil Reais)";"1440"
"Ceará";"Abacaxi*";"2018";"Valor da produção (Mil Reais)";"658"
"Ceará";"Abacaxi*";"2019";"Valor da produção (Mil Reais)";"834"
"Ceará";"Abacaxi*";"2020";"Valor da produção (Mil Reais)";"1944"
"Ceará";"Açaí";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Açaí";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Açaí";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Açaí";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Açaí";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Alfafa fenada";"2016";"Valor da produção (Mil Reais)";"..."
"Ceará";"Alfafa fenada";"2017";"Valor da produção (Mil Reais)";"..."
"Ceará";"Alfafa fenada";"2018";"Valor da produção (Mil Reais)";"..."
"Ceará";"Alfafa fenada";"2019";"Valor da produção (Mil Reais)";"..."
"Ceará";"Alfafa fenada";"2020";"Valor da produção (Mil Reais)";"..."
"Ceará";"Algodão arbóreo (em caroço)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Algodão arbóreo (em caroço)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Algodão arbóreo (em caroço)";"2018";"Valor da produção (Mil Reais)";"-"
