Source,Target,Weight,Season
Ahsa,Theon,2,2
All,Sansa,1,2
All three,Balon,1,2
Alton,Cersei,2,2
Alton,Jaime,23,2
Alton,Robb,7,2
Amory,Arya,4,2
Amory,Tywin,3,2
Amory,Yoren,3,2
Announcer,Joffrey,1,2
Armory,Hot pie,1,2
Armory,Tywin,1,2
Arya,Amory,4,2
Arya,Gendry,26,2
Arya,Hot pie,11,2
Arya,Jaqen,33,2
Arya,Rorge,2,2
Arya,Twyin,1,2
Arya,Tywin,32,2
Arya,Yoren,6,2
Ayra,Hot pie,1,2
Baelish,Cersei,8,2
Baelish,Pycelle,1,2
Baelish,Roz,4,2
Baelish,Varys,1,2
Balon,Theon,15,2
Balon,Yara,2,2
Black lorren,Theon,7,2
Blacksmith,Janos,4,2
Bran,Farlen,1,2
Bran,Lord,2,2
Bran,Luwin,6,2
Bran,Osha,15,2
Bran,Rickon,3,2
Bran,Rodrik,4,2
Bran,Theon,10,2
Brienne,Catelyn,12,2
Brienne,Jacks,1,2
Brienne,Jaime,14,2
Brienne,Renly,2,2
Brinenne,Jaime,2,2
Bronn,Haylene,5,2
Bronn,Lancel,1,2
Bronn,Meryn,1,2
Bronn,Prostitute,3,2
Bronn,The hound,2,2
Bronn,Tyrion,28,2
Bronn,Varys,3,2
Catelyin,Robb,1,2
Catelyn,Brienne,12,2
Catelyn,Colen,1,2
Catelyn,Jacks,1,2
Catelyn,Jaime,9,2
Catelyn,Littlefinger,8,2
Catelyn,Loras,2,2
Catelyn,Margaery,1,2
Catelyn,Renly,4,2
Catelyn,Rickard,1,2
Catelyn,Rickard karstark,5,2
Catelyn,Robb,25,2
Catelyn,Roose,2,2
Catelyn,Stannis,3,2
Catelyn,Talisa,2,2
Catelyn,Theon,1,2
Catelyn ,Rickard karstark,1,2
Cersei,Alton,2,2
Cersei,Baelish,9,2
Cersei,Gold cloak,1,2
Cersei,Janos,2,2
Cersei,Joffrey,9,2
Cersei,Lancel,9,2
Cersei,Pycelle,4,2
Cersei,Sansa,22,2
Cersei,Shae,4,2
Cersei,Tyrion,63,2
Cersei,Tywin,1,2
Cersei,Varys,2,2
Cesei,Tyrion,1,2
Craster,Edd,1,2
Craster,Gilly,1,2
Craster,Jon,2,2
Craster,Lord mormont,9,2
Cressen,Davos,2,2
Cressen,Melisandre,2,2
Cressen,Stannis,1,2
Crowd,Protester,1,2
Daenerys,Doreah,4,2
Daenerys,Drogo,1,2
Daenerys,Irri,4,2
Daenerys,Jorah,38,2
Daenerys,Kovarro,5,2
Daenerys,Pyat pree,3,2
Daenerys,Pyatt pree,1,2
Daenerys,Rakharo,2,2
Daenerys,Silk king,1,2
Daenerys,Spice king,19,2
Daenerys,Xaro,21,2
Dagmer,Black lorren,1,2
Dagmer,Theon,13,2
Daisy,Joffrey,1,2
Daisy,Roz,3,2
Davos,Cressen,4,2
Davos,Matthos,19,2
Davos,Melisandre,9,2
Davos,Saan,9,2
Davos,Stannis,39,2
Davos,Tyrion,1,2
Dolorous edd,Grenn,4,2
Dolorous edd,Jon,1,2
Dolorous edd,Sam,7,2
Doreah,Daenerys,4,2
Doreah,Irri,1,2
Doreah,Xaro,2,2
Drogo,Daenerys,1,2
Drowned priest,Theon,2,2
Edd,Craster,1,2
Edd,Grenn,3,2
Edd,Sam,4,2
Eddision,Sam,1,2
Ersei,Pycelle,1,2
Farlen,Bran,1,2
Farlen,Theon,1,2
Gendry,Arya,26,2
Gendry,Hot pie,7,2
Gendry,The tickler,1,2
Gendry,Yoren,1,2
Gerard,Renly,1,2
Gilly,Craster,1,2
Gilly,Jon,3,2
Gilly,Sam,3,2
Gold cloak,Arya,1,2
Gold cloak,Yoren,3,2
Grenn,Dolorous edd,4,2
Grenn,Edd,2,2
Grenn,Sam,12,2
Handmaiden,Shae,1,2
Haylene,Bronn,3,2
Haylene,Tyrion,2,2
Hodor,Bran,1,2
Hodor,Osha,2,2
Hot pie,Arya,10,2
Hot pie,Ayra,1,2
Hot pie,Gendry,6,2
Hot pie,Lommy,3,2
Hound,Joffrey,2,2
Hound,Tyrion,1,2
Irri,Daenerys,3,2
Irri,Doreah,2,2
Jacks,Brienne,2,2
Jacks,Catelyn,1,2
Jaime,Alton,22,2
Jaime,Brienne,15,2
Jaime,Catelyn,7,2
Jaime,Robb,8,2
Janos,Baelish,1,2
Janos,Blacksmith,4,2
Janos,Bronn,1,2
Janos,Cersei,3,2
Janos,Roz,2,2
Janos,Tyrion,14,2
Jaqen,Arya,35,2
Jaqen,Rorge,2,2
Jeor,Jon,9,2
Jeor,Qhorin,5,2
Jeor,Sam,2,2
Joffrey,Bronn,1,2
Joffrey,Cersei,8,2
Joffrey,Hound,1,2
Joffrey,Lancel,2,2
Joffrey,Loras,1,2
Joffrey,Margaery,1,2
Joffrey,Ros,2,2
Joffrey,Sansa,13,2
Joffrey,Ser dontos,3,2
Joffrey,The hound,2,2
Joffrey,Tyrion,16,2
Joffrey,Varys,1,2
Jon,Craster,2,2
Jon,Edd,2,2
Jon,Gilly,3,2
Jon,Grenn,2,2
Jon,Jeor,9,2
Jon,Lord mormont,3,2
Jon,Qhorin,16,2
Jon,Quorin,3,2
Jon,Sam,11,2
Jon,Ygritte,36,2
Jorah,Daenerys,40,2
Jorah,Kovarro,1,2
Jorah,Quaith,4,2
Jorah,Quaithe,2,2
Kevan,Twyin,1,2
