id,Label
ALL,All
ANGUY,Anguy
ARYA,Arya
BABY,Baby
BALON,Balon
BARRISTAN,Barristan
BERIC,Beric
BLACK WALDER,Black walder
BLACKFISH,Blackfish
BOY,Boy
BRAN,Bran
BRIENNE,Brienne
BRONN,Bronn
BRYNDEN,Brynden
CATELYN,Catelyn
CERSEI,Cersei
CHILD,Child
CRASTER,Craster
DAARIO,Daario
DAENERYS,Daenerys
DAVOS,Davos
DOLOROUS EDD,Dolorous edd
EDDISON,Eddison
EDMURE,Edmure
EVERYBODY,Everybody
GENDRY,Gendry
GILLY,Gilly
GIRL,Girl
GREIZHEN,Greizhen
GRENN,Grenn
GREY WORM,Grey worm
HIGH SEPTON,High septon
HODOR,Hodor
HOT PIE,Hot pie
HOUND,Hound
JAIME,Jaime
JEOR,Jeor
JOFFREY,Joffrey
JOJEN,Jojen
JON,Jon
JON SNOW,Jon snow
JORAH,Jorah
KARL TANNER,Karl tanner
KRAZNYS,Kraznys
KRAZNYS MO NAKLOZ,Kraznys mo nakloz
LITTLEFINGER,Littlefinger
LOCKE,Locke
LORAS,Loras
LOTHAR,Lothar
MAESTER AEMON,Maester aemon
MAID,Maid
MARGAERY,Margaery
MARTYN,Martyn
MEERA,Meera
MELISANDRE,Melisandre
MERO,Mero
MERYN TRANT,Meryn trant
MISSANDEI,Missandei
MYRANDA,Myranda
OLENNA,Olenna
OLYVAR,Olyvar
ORELL,Orell
OSHA,Osha
PIG FARMER,Pig farmer
PODRICK,Podrick
PRENDAHL,Prendahl
PYCELLE,Pycelle
PYP,Pyp
QYBURN,Qyburn
RADZAL MO ERAZ,Radzal mo eraz
RAMSAY,Ramsay
RAST,Rast
RATTLESHIRT,Rattleshirt
RICKARD KARSTARK,Rickard karstark
RICKON,Rickon
ROBB,Robb
ROOSE,Roose
ROOSE BOLTON,Roose bolton
ROS,Ros
SALLADHOR,Salladhor
SAM,Sam
SAMWELL,Samwell
SANSA,Sansa
SELYSE,Selyse
SERVANT,Servant
SHAE,Shae
SHIREEN,Shireen
STANNIS,Stannis
TALISA,Talisa
THE HOUND,The hound
THEON,Theon
THOROS,Thoros
TORMUND,Tormund
TORTURER,Torturer
TYRION,Tyrion
TYWIN,Tywin
UNSULLIED,Unsullied
VARYS,Varys
VIOLET,Violet
WALDER,Walder
WALDER FREY,Walder frey
WHORE,Whore
WILDLING 2,Wildling 2
YARA,Yara
YGRITTE,Ygritte
CROWD,Crowd
DANAERYS,Danaerys
WILLEM,Willem
RAMSEY,Ramsey
MERRY,Merry
WILDLING 1,Wildling 1
